Key,Desc,English,Russian,Spanish,Chinese (Simplified),Belarusian,French,German,Italian,Japanese,Korean,,Turkish,Ukrainian
5_2_GuardsTellStory_bunner,,"One of the guards tells us that a great misfortune has happened, and the king orders us to come to the castle","Стражники подходят и один из них рассказывает, что случилось несчастье и король приказывает нам явиться в замок","Uno de los guardias reales nos dice que ha sucedido una gran desgracia, y el rey nos ordena que vayamos al castillo",,,,,,,,,,
5_2_GuardsTellStory_cardLeft,,No mortal dares to command me,Никто из смертных не смеет мне приказывать,Ningún mortal se atreve a mandarme,,,,,,,,,,
5_2_GuardsTellStory_cardLeft_REV,,"You kick one of the guards with your foot, just like in your favorite fairy tale, and he flies over the fruit counter","Вы пинаете одного из стражников ногой, прямо как в вашей любимой сказке и он перелетает через прилавок с фруктами","Pateas a uno de los guardias con el pie, como en tu cuento de hadas favorito, y él vuela sobre el mostrador de frutas",,,,,,,,,,
5_2_GuardsTellStory_cardRight,,Agree to go,Согласиться пойти,Aceptar ir,,,,,,,,,,
5_2_GuardsTellStory_cardRight_REV,,Your adventurous spirit awakens and you follow the guards into the castle,"В вас просыпается дух авантюризма, и вы следуете в замок вместе со стражей",Tu espíritu aventurero despierta y sigues a los guardias hasta el castillo,,,,,,,,,,
,,,,,,,,,,,,,,
5_2_StealAppleCatch_bunner,,"Shamefully pulling your hand away from the counter, you accidentally push a woman with a basket and all the products fly away","С позором одергивая руку от прилавка, вы случайно толкаете женщину с корзинкой и все продукты разлетаются","Vergonzosamente, al apartar la mano del mostrador, accidentalmente empujas a una mujer con una canasta y todos los productos salen volando",,,,,,,,,,
5_2_StealAppleCatch_cardLeft,,You try to catch all the food in the air,Попытаться поймать все продукты в воздухе,Tratas de atrapar toda la comida en el aire,,,,,,,,,,
5_2_StealAppleCatch_cardLeft_REV,,You make sudden movements with your hands in the air and accidentally hit a passerby's ear with your finger,Вы делаете резкие движения руками в воздухе и случайно попадаете пальцем в ухо прохожему,Haces movimientos bruscos con las manos en el aire y golpeas accidentalmente la oreja de un transeúnte con el dedo,,,,,,,,,,
5_2_StealAppleCatch_cardRight,,Use the chaos as cover - time to 'liberate' something shiny from a stall,Воспользоваться суматохой и все - таки стащить хоть что - то с прилавка,Aprovecha el jaleo - es hora de 'adquirir' algo sin pagar,,,,,,,,,,
5_2_StealAppleCatch_cardRight_REV,,You manage to grab an ear of corn,Вам удается ухватить початок кукурузы,Te las arreglas para agarrar una mazorca de maíz,,,,,,,,,,
5_3_FingerEar_bunner,,"The passerby is a blind monk! He seizes your wrist, whispering - My son, to strike God’s servant is to invite curses upon yourself!","Прохожий, оказался слепым монахом! Он хватает вас за руку и шепчет - Сын мой ты напал на служителя божьего, ждут тебя проклятия!","¡El transeúnte resulta ser un monje ciego! Te agarra del brazo y susurra - Hijo mío, has atacado a un siervo de Dios... ¡te esperan maldiciones!",,,,,,,,,,
5_3_FingerEar_cardLeft,,Crack a joke,Отшутиться,Soltar una broma,,,,,,,,,,
5_3_FingerEar_cardLeft_REV,,"You ask if they offer curse-removal discounts

The joke makes him laugh as he walks away","Вы спрашиваете, когда у них скидки на снятие проклятия

Шутка его рассмешила, и он уходит","Le preguntas si hacen descuentos para quitar maldiciones

La broma le arranca una risa antes de irse",,,,,,,,,,
5_3_FingerEar_cardRight,,Break free,Освободиться,Liberarse,,,,,,,,,,
5_3_FingerEar_cardRight_REV,,You yank your hand back and step away - but the monk’s quicker. His staff cracks against your skull before he vanishes into the crowd,"Высвобождая руку, вы отходите на шаг от него, но монах оказался прытким - больно бьет вас палкой по голове и уходит",Logras liberar la mano y retrocedes... pero el monje es ágil. Su bastón te golpea la cabeza con dolor antes de marcharse,,,,,,,,,,
5_3_BoyCatchU_bunner,,A scrawny kid catches you mid-theft,Ваше воровство замечает тощий мальчишка,Un chico escuálido atrapa tu mano en el acto,,,,,,,,,,
5_3_BoyCatchU_cardLeft,,Take pity on the urchin and hand him the corn,Пожалеть мальца и отдать ему кукурузу,Compadecerte del chiquillo y darle el maíz,,,,,,,,,,
5_3_BoyCatchU_cardLeft_REV,,"The guards are lookin for you… But hey, my lips are sealed",Вас царские ищут… Но я так уж и быть ничего им не скажу,La guardia te busca… Pero por ahora no diré nada,,,,,,,,,,
5_3_BoyCatchU_cardRight,,Shove him away,Прогнать его,Echarlo a patadas,,,,,,,,,,
5_3_BoyCatchU_cardRight_REV,,"The kid scowls

this isn’t over","Мальчишка расстроился

 Он это запомнит","El chico frunce el ceño 

esto no quedará así",,,,,,,,,,
5_3_AngryWoman_bunner,,You’d already forgotten the woman you shoved aside... but she hasn’t forgotten you,"Вы совсем забыли про женщину, которую толкнули, а вот она про вас совсем нет",Habías olvidado a aquella mujer que empujaste... pero ella no te ha olvidado,,,,,,,,,,
5_3_AngryWoman_cardLeft,,Pretend you didn’t notice,"Сделать вид, что не заметили",Fingir que no la has visto,,,,,,,,,,
5_3_AngryWoman_cardLeft_REV,,You turn away - only to catch a wicker basket right between your shoulder blades,Вы отворачиваетесь - и получаете корзиной по спине,"Te giras, y una cesta de mimbre te golpea la espalda",,,,,,,,,,
5_3_AngryWoman_cardRight,,Apologize and offer help,Извиниться и предложить помощь,Pedir disculpas y ofrecer ayuda,,,,,,,,,,
5_3_AngryWoman_cardRight_REV,,"As you pack the goods, your hand sneaks a plum into your pocket on its own","Пока вы складываете продукты, рука сама уносит одну сливу в карман","Mientras guardas los alimentos, tu mano se lleva una ciruela al bolsillo por su cuenta",,,,,,,,,,
5_4_BazaarEnd_bunner,,"During your little escapade, you lose sight of the guards, and the path leads you to the gates of the royal palace","Во время своего маленького приключения вы упускаете стражу из виду, и дорога приводит вас к вратам царского дворца","Durante tu pequeña aventura, pierdes de vista a los guardias y el camino te lleva a las puertas del palacio real",,,,,,,,,,
5_4_BazaarEnd_cardLeft,,Tell the guards at the gate that you're going to the King's summons,Сказать охране на воротах что вы идете по вызову Царя,Dile a los guardias en la puerta que vas a la citación del Rey,,,,,,,,,,
5_4_BazaarEnd_cardLeft_REV,,"The guards look at each other, sigh, and show you where to go next","Стражники переглядываются между собой, вздыхают и показывают куда вам нужно идти далее","Los guardias se miran, suspiran y te muestran a dónde ir a continuación",,,,,,,,,,
5_4_BazaarEnd_cardRight,,Turn around and go to the tavern,Развернуться и пойти в трактир,Darse la vuelta e ir a la taberna,,,,,,,,,,
5_4_BazaarEnd_cardRight_REV,,You decide that first you need to get the latest news from a credible source,"Вы решаете, что для начала вам нужно узнать последние новости из достоверного источника",Usted decide que primero necesita obtener las últimas noticias de una fuente creíble,,,,,,,,,,
5_TakeApple_bunner,,"The apple is juicy and red, and it looks like it's very fresh","Яблоко сочное, красное, похоже, что оно очень свежее ","La manzana es jugosa y roja, y parece muy fresca",,Яна дала вам смачнае чырвонае яблык.,,,,,,,,
5_TakeApple_cardLeft,,Eat an apple,Съесть яблоко,Comer una manzana,,З'есці яблык,,,,,,,,
5_TakeApple_cardLeft_REV,,You eat an apple and it fills you with energy,"Вы съедаете яблоко, и оно наполняет вас энергией",Te comes una manzana y te llena de energía,,Вы з'ядаеце яблык і яно напаўняе вас энергіяй,,,,,,,,
5_TakeApple_cardRight,,Put it in your pocket,Положить его в карман,Póngalo en su bolsillo,,Пакласці яго ў кішэню,,,,,,,,
5_TakeApple_cardRight_REV,,"The apple is very beautiful and shiny, but you are not hungry and hide it in your pocket","Яблоко очень красивое и блестящее, но вы не голодны и прячете его в карман","La manzana es muy hermosa y brillante, pero no tienes hambre y la escondes en tu bolsillo",,"Яблык вельмі прыгожае і бліскучае, але вы не галодныя і хаваеце яго ў кішэню",,,,,,,,
5_TakeNAIL_bunner,,Keep it for yourself or throw it on the ground,Оставить себе или выкинуть на землю,Guárdalo para ti o tíralo al suelo,,Заставіць сабе ці выкінуць на зямлю.,,,,,,,,
5_TakeNAIL_cardLeft,,Throw away,Выбросить,Tirar a la calle,,Выкідваць.,,,,,,,,
5_TakeNAIL_cardLeft_REV,,"You throw out the nail, nothing happens","Вы выкидываете гвоздь на дорогу, ничего не происходит",Has tirado un clavo en la carretera,,"Вы выкідваеце гваздь, нічога не адбываецца.",,,,,,,,
5_TakeNAIL_cardRight,,Keep it for yourself,Оставить себе,Guárdatelo para ti,,Вы захоўваеце гваздь у сябе.,,,,,,,,
5_TakeNAIL_cardRight_REV,,"Obviously you are very economical, you put a nail in your pocket","Очевидно, вы очень хозяйственный, кладете гвоздь себе в карман","Obviamente eres muy económico, te pones un clavo en el bolsillo",,"Аглядзіцеся, відаць, вы вельмі гаспадарлівы і кладзеце гваздь у свой кішэню.",,,,,,,,
6_WagonStop_bunner,,"The cart jolts sharply and halts. The wheels are stuck deep in the mud, the horses snort restlessly. The guards sigh, bracing to push","Телега резко дёргается и замирает. Колёса глубоко увязли в грязи, лошади беспокойно фыркают. Стражники вздыхают, готовясь толкать","El carro se sacude bruscamente y se detiene. Las ruedas están atascadas en el barro, los caballos resoplan inquietos. Los guardias suspiran, preparándose para empujar",,,,,,,,,,
6_WagonStop_cardLeft,,Help the guards push the cart out,Помочь стражникам вытолкать телегу,Ayudar a los guardias a empujar el carro,,,,,,,,,,
6_WagonStop_cardLeft_REV,,"The cart budges - but you faceplant into the mud. The guards roar with laughter as you stand there, filthy. Off to a ‘great’ start","Телега поддаётся, но ты падаешь в грязь. Стражники смеются, а ты весь в грязи. Путешествие начинается ""удачно""",El carro cede - pero te caes de bruces en el barro. Los guardias se ríen a carcajadas mientras quedas cubierto de lodo. Un ‘excelente’ comienzo,,,,,,,,,,
6_WagonStop_cardRight,,Staying put in the cart? That’s not your style,Остаться сидеть в телеге - это не ваше дело,Quedarte sentado en el carro no es lo tuyo,,,,,,,,,,
6_WagonStop_cardRight_REV,,The cart lurches forward - but you catch a strange click from the wheel. The guards don’t seem to notice,"Телега сдвигается, но вы слышите странный щелчок от колеса - но стражники, кажется, не заметили",El carro avanza - pero oyes un clic extraño en la rueda. Los guardias no parecen darse cuenta,,,,,,,,,,
6_GuardsSeekinU_bunner,,You're watching the guards combing the neighborhood,Вы смотрите как стража прочесывает окрестности,Estás viendo a los guardias peinando el vecindario,,,,,,,,,,
6_GuardsSeekinU_cardLeft,,Yell out to the guards,Окрикнуть их,Empezar a burlarse de los guardias,,,,,,,,,,
6_GuardsSeekinU_cardLeft_REV,,"You taunt the guards, feeling your impunity, they don't appreciate it and promise to catch you","Вы дразните стражу, чувствуя свою безнаказанность, они не оценили этого и обещают вас поймать","Te burlas de los guardias, sintiendo tu impunidad, no lo aprecian y prometen atraparte",,,,,,,,,,
6_GuardsSeekinU_cardRight,,To leave the harbor in silence,Молча покинуть гавань,En silencio abandonar el puerto,,,,,,,,,,
6_GuardsSeekinU_cardRight_REV,,You see the guards leave without finding anyone,"Вы видите, как стражники уходят не найдя никого",Ves a los guardias irse sin encontrar a nadie,,,,,,,,,,
6_GuardsSeekinU2_bunner,,," Уже начало темнеть, но стража все еще ищет вас на пристани",,,,,,,,,,,
6_GuardsSeekinU2_cardLeft,,Hide in a barrel,Спрятаться в бочке,Esconderse en un barril,,,,,,,,,,
6_GuardsSeekinU2_cardLeft_REV,,"You hid in a barrel of rotten fish, the stench was disgusting and you had to climb out and surrender to the guards","Вы спрятались в бочке с тухлой рыбой, вонь была омерзительная и вам пришлось вылезти и сдаться страже","Te escondiste en un barril de pescado podrido, el hedor era asqueroso y tuviste que salir y rendirte a los guardias",,,,,,,,,,
6_GuardsSeekinU2_cardRight,,Flee into the dark forest,Сбежать в темный лес,Escapar al bosque oscuro,,,,,,,,,,
6_GuardsSeekinU2_cardRight_REV,,"The guards chased you into the forest, but fear stopped them in their tracks. You definitely need a drink after that","Стражники побежали за вами в лес, но страх их остановил, а вам после такого однозначно надо выпить","Los guardias corrieron tras vosotros al bosque, pero el miedo los detuvo. Definitivamente necesitáis un trago después de esto",,,,,,,,,,
6_to_Castle_how_bunner,,"Following the guards, you approach the palace gates and watch them disappear behind them","Продолжая следовать за стражей, вы подходите к воротам дворца, вы видите как они скрываются за воротами ","Al seguir a los guardias, te acercas a las puertas del palacio y los ves desaparecer tras ellas",,,,,,,,,,
6_to_Castle_how_cardLeft,,Secretly follow the guards into the castle,Тайно проследовать за стражей в замок,Seguir sigilosamente a los guardias al castillo,,,,,,,,,,
6_to_Castle_how_cardLeft_REV_YES,,"Approaching the castle gates, you throw a scarf over your head and blend in with four monks","Подойдя к воротам замка вы, накинув платок на голову сливаетесь с четырьмя монахами","Al acercarte a las puertas del castillo, te pones una bufanda en la cabeza y te mezclas con cuatro monjes",,,,,,,,,,
6_to_Castle_how_cardLeft_REV_NO,,The guards notice you're not a monk and demand to know your business here,"Стражники замечают, что вы не монах и интересуются целью вашего визита",Los guardias notan que no eres monje y preguntan el motivo de tu visita,,,,,,,,,,
6_to_Castle_how_cardRight,,Attempt to pass through without disguise,Попытаться пройти без маскировки,Intentar pasar sin disfraz,,,,,,,,,,
6_to_Castle_how_cardRight_REV,,"The guards question your purpose

You claim to come by the king's order","Стражники интересуются целью вашего визита

Вы отвечаете, что пришли по приказу царя","Los guardias preguntan por tu propósito

Dices que vienes por orden del rey",,,,,,,,,,
6_Castle_Gate_bunner,,The guards frown and eye you suspiciously,Стражники нахмурившись смотрят на вас,Los guardias fruncen el ceño y te miran con sospecha,,,,,,,,,,
6_Castle_Gate_cardLeft,,Tell them the whole story from the beginning up to now,Рассказать им всю историю от начала до этого момента,Contarles toda la historia desde el principio hasta ahora,,,,,,,,,,
6_Castle_Gate_cardLeft_REV,,"The guards exchange glances, sigh, and point you toward your next destination","Стражники переглядываются между собой, вздыхают и показывают куда вам нужно идти далее","Los guardias intercambian miradas, suspiran y te indican hacia dónde debes ir",,,,,,,,,,
6_Castle_Gate_cardRight,,State that you know what happened and are willing to help... for a worthy reward,"Сказать, что знаете, что случилось и готовы помочь если будет достойное вознаграждение",Decir que sabes lo ocurrido y estás dispuesto a ayudar... por una recompensa digna,,,,,,,,,,
6_Castle_Gate_cardRight_REV,,"The guards exchange glances and, with a smile, point you toward your next destination","Стражники переглядываются между собой, и c улыбкой показывают куда вам нужно идти далее","Los guardias intercambian miradas y, con una sonrisa, te indican hacia dónde debes ir",,,,,,,,,,
6_in_Castle_bunner,,You get behind the palace walls and immediately turn down a dark corridor to avoid being seen by the guards,"Вы попадаете за дворцовые стены и сразу сворачиваете в темный коридор, чтобы не попасться страже на глаза",Te pones detrás de los muros del palacio e inmediatamente bajas por un pasillo oscuro para evitar ser visto por los guardias,,,,,,,,,,
6_in_Castle_winner,,And what the hero saw you will learn from the full version,А что увидел герой вы узнаете из полной версии,Y lo que vio el héroe lo aprenderás de la versión completa,,,,,,,,,,
6_in_Castle_cardLeft,,Light the torch hanging on the wall,"Зажечь факел, висящий на стене",Enciende la antorcha colgada en la pared,,,,,,,,,,
6_in_Castle_cardLeft_REV,,"The light was seen by passing guards, you were seized and sent to the prison, paying no attention to your stories","Свет увидели мимо проходящие стражники, вас схватили и отправили в темницу, не обращая внимания на ваши рассказы","La luz fue vista por los guardias que pasaban, te apresaron y te enviaron a la prisión, sin prestar atención a tus historias",,,,,,,,,,
6_in_Castle_cardRight,,Start feeling the walls in the semi-darkness,Начать ощупывать стены в полумраке,Explorar a tientas las paredes del oscuro pasaje,,,,,,,,,,
6_in_Castle_cardRight_REV,,"You touch the stone's letters - they form: ""The wall reveals its secret to those who hear the stone""","Вы нащупываете буквы на одном из камней, они складываются в надпись: ""Стена откроет тайну тому, кто слышит камень""","Palpas las letras en una de las piedras, que forman una inscripción: ""La pared revelará su secreto a quien escuche la voz de la piedra",,,,,,,,,,
6_KingsPlace_bunner,,"You were introduced to the inconsolable king, who bitterly recounted the story that a dragon had kidnapped the princess","Вас представили безутешному царю,
который с горечью поведал о том,
что дракон похитил принцессу","Te presentan ante el desconsolado zar,
quien, con amargura, relata cómo el dragón secuestró a la princesa
",,"Вас прывезлі да безутешнага караля, які з гораю распавёў пра тое, як дракон схапіў яго прынцэсу.",,,,,,,,
6_KingsPlace_cardLeft,,Ask how it concerns you?,Спросить причем здесь вы?,"Preguntar: ""¿Y qué tengo que ver yo con esto?""",,"Запытацца, якое да вас дачыненне?",,,,,,,,
6_KingsPlace_cardLeft_REV,,"But after looking at the stern guards, you decided to keep quiet and continue listening","Но, глянув на суровую стражу, вы решили помолчать и продолжить слушать","Pero, al mirar a la severa guardia, decidiste guardar silencio y seguir escuchando",,"Ахова кідае на вас незадавальняючыя погляды, але кароль, уздыхнуўшы, працягвае свой аповяд.",,,,,,,,
6_KingsPlace_cardRight,,Continue listening,Продолжить слушать,Seguir escuchando,,Працягнуць слухаць,,,,,,,,
6_KingsPlace_cardRight_REV,,You continue to listen to the king's story without enthusiasm,Вы без энтузиазма продолжаете слушать историю короля,"Sin entusiasmo, sigues escuchando la historia del zar",,Вы без энтузіязму працягваеце слухаць гісторыю караля,,,,,,,,
6_KingsPlace2_bunner,,"You came to the castle to the inconsolable king, who bitterly told about that, How the dragon kidnapped his princess","Вы пришли в замок к безутешному царю,
который с горечью поведал о том,
что дракон похитил его принцессу","Has llegado al castillo del desconsolado zar,
quien, con amargura, te contó que el dragón secuestró a su princesa",,"Вы прыйшлі ў замак да няўцешнаму каралю,
які з горыччу распавёў пра тое,
як цмок выкраў яго прынцэсу",,,,,,,,
6_KingsPlace2_cardLeft,,Ask how it concerns you?,Спросить причем здесь вы?,"Preguntar: ""¿Y qué tengo que ver yo con esto?""",,"Запытацца, якое да вас дачыненне?",,,,,,,,
6_KingsPlace2_cardLeft_REV,,"The guards look at you with displeasure, but the king sighs and continues his story","Стража бросает на вас недовольные взгляды, но царь, вздохнув, продолжает свой рассказ","La guardia te lanza miradas de desaprobación, pero el zar, suspirando, continúa su relato",,"Варта кідае на вас незадаволеныя погляды, але кароль, уздыхнуўшы, працягвае свой аповяд",,,,,,,,
6_KingsPlace2_cardRight,,Continue listening,Продолжить слушать,Seguir escuchando,,Працягнуць слухаць,,,,,,,,
6_KingsPlace2_cardRight_REV,,You continue to listen to the king's story without enthusiasm,Вы без энтузиазма продолжаете слушать эту печальную историю,"Sin entusiasmo, sigues escuchando la historia del zar",,Вы без энтузіязму працягваеце слухаць гісторыю караля,,,,,,,,
6_1_BoatCrush_bunner,,"You sail a decent distance away and then a hurricane hits, hurling the ship violently against the shore. It's a miracle you're alive","Вы отплываете на порядочное расстояние и тут же начинается ураган, корабль с силой швыряет о берег. Вы чудом остались живы","Zarpas a una distancia considerable, pero de repente comienza un huracán. El barco es arrojado con fuerza contra la orilla. Sobrevives de milagro",,,,,,,,,,
6_1_BoatCrush_cardLeft,,Play dead,Прикинуться мертвым,Fingir estar muerto,,,,,,,,,,
6_1_BoatCrush_cardLeft_REV,,"The guards have bought into your trick, and you decide to relieve stress in the tavern","Стражники купились на ваш трюк, а вы решаете снять стресс в трактире","Los guardias cayeron en tu engaño, y tú decides aliviar el estrés en la taberna",,,,,,,,,,
6_1_BoatCrush_cardRight,,Hide in a thicket near the shore,Спрятаться в зарослях рядом с берегом,Esconderse entre la maleza junto a la orilla,,,,,,,,,,
6_1_BoatCrush_cardRight_REV,,You sneak through the bushes and hide among the trees. The guards don't find you and you run home through the forest,"Вы ползком пробираетесь в кусты и прячетесь среди деревьев. Стража вас не находит, и вы сбегаете домой через лес","Te arrastras hasta los arbustos y te ocultas entre los árboles. La guardia no te encuentra, y logras escapar a casa atravesando el bosque",,,,,,,,,,
6_1_BoatCheck_bunner,,You sail a short distance away and the captain arranges a crew inspection,"Вы отплываете на небольшое расстояние, и капитан устраивает проверку экипажа",Zarpas a corta distancia y el capitán inicia una inspección de la tripulación,,,,,,,,,,
6_1_BoatCheck_cardLeft,,Take advantage of the commotion and launch a dinghy,Воспользоваться суетой и спустить на воду шлюпку,Aprovechar el alboroto y botar un bote al agua,,,,,,,,,,
6_1_BoatCheck_cardLeft_REV,,"You leave the ship and carefully swim towards the shore, after this you should freshen up at the tavern","Вы покидаете корабль и осторожно плывете в сторону берега, после такого надо освежиться в трактире ","Abandonas el barco y remas con cuidado hacia la orilla. Después de semejante aventura, necesitas refrescarte en la taberna",,,,,,,,,,
6_1_BoatCheck_cardRight,,Merge with the crew,Слиться с экипажем,Mezclarse con la tripulación,,,,,,,,,,
6_1_BoatCheck_cardRight_REV,,"The attempt fails, the captain spots you. and sends you ashore in a dinghy into the hands of the guards","Попытка проваливается, капитан замечает вас. И отправляют на шлюпке на берег в руки стражи","El intento fracasa, el capitán te nota. Te envían en un bote a la orilla, directo a manos de la guardia",,,,,,,,,,
6_1_GreenCheese_bunner,,,"Вы изрядно проголодались. Обыскивая каюты, находите кусок сыра - его плесень светится благородным зелёным оттенком",,,,,,,,,,,
6_1_GreenCheese_cardLeft,,,,,,,,,,,,,,
6_1_GreenCheese_cardLeft_REV,,,,,,,,,,,,,,
6_1_GreenCheese_cardRight,,,,,,,,,,,,,,
6_1_GreenCheese_cardRight_REV,,,,,,,,,,,,,,
7_RiverWashFace_bunner,,"You head to the river to wash off the mud. One of the guards accompanies you. The water is icy, the current swift","Вы идёте к реке, чтобы смыть грязь, один из стражников идет с вами. Вода в реке холодная, течение быстрое","Vas al río para lavarte el lodo. Uno de los guardias te acompaña. El agua está helada, la corriente es rápida",,,,,,,,,,
7_RiverWashFace_cardLeft,,Distract the guard and attempt to escape,Отвлечь стражника и попытаться сбежать,Distraer al guardia e intentar escapar,,,,,,,,,,
7_RiverWashFace_cardLeft_REV,,"You shove him into the river without warning. He crashes into the water with a curse, giving you time to slip away","Неожиданно толкаешь его в реку. Он с грохотом падает в воду, ругаясь. У вас есть время, чтобы скрыться","Lo empujas al río de improvisto. Cae al agua con un juramento, dándote tiempo para escabullirte",,,,,,,,,,
7_RiverWashFace_cardRight,,Dive into the water,Нырнуть в воду,Zambullirse en el agua,,,,,,,,,,
7_RiverWashFace_cardRight_REV,,You submerge and stealthily swim beneath the overhanging leaves. The guard assumes you've drowned and leaves,"Вы скрываетесь под водой, и незаметно вплываете под листвой, стражник подумал что вы утонули и ушел",Te sumerges y nadás sigilosamente bajo el follaje. El guardia asume que te ahogaste y se va,,,,,,,,,,
7_GoWhere_bunner,,"Climbing out and shaking yourself off, you ponder where to go next",Выплыв и отряхнувшись вы думаете куда пойти,"Al salir y sacudirte, reflexionas sobre adónde ir ahora",,,,,,,,,,
7_GoWhere_cardLeft,,Wet your whistle,Промочить горло,Mojar el gaznate,,,,,,,,,,
7_GoWhere_cardLeft_REV,,You suddenly crave ale - preferably in heroic quantities,Вам очень захотелось выпить эля,Te entra un ansia irrefrenable de cerveza... y no será solo una,,,,,,,,,,
7_GoWhere_cardRight,,Shadow the guards,Проследить за стражей,Seguir a los guardias con discreción,,,,,,,,,,
7_GoWhere_cardRight_REV,,Now you’re itching to know - what the hell do the guards really want with you?,Вам стало интересно что все - таки нужно стражникам от вас,Te pica la curiosidad - ¿qué diablos quieren los guardias contigo?,,,,,,,,,,
7_Guard_in_Water_bunner,,"The guard flails in the water, choking - clearly, swimming wasn’t in his training","Стражник барахтается в воде, он начинает тонуть, похоже что он не умеет плавать","El guardia se ahoga en el agua, pataleando - nunca aprendió a nadar",,,,,,,,,,
7_Guard_in_Water_cardLeft,,Save the drowning guard,Помочь тонущему стражнику,Ayudar al guardia que se ahoga,,,,,,,,,,
7_Guard_in_Water_cardLeft_REV,,"You shove a log into the water - the guard clings to it, gasping as he fights for the shore","Вы сталкиваете бревно с берега и стражник, хватаясь за него пытается выплыть на берег","Empujas un tronco hacia el río; el guardia se aferra a él, escupiendo agua mientras nada hacia la orilla",,,,,,,,,,
7_Guard_in_Water_cardRight,,Don’t help,Не помогать,No ayudarlo,,,,,,,,,,
7_Guard_in_Water_cardRight_REV,,"Right now, you only care about your own skin",Вас в данный момент вас интересует только личная судьба,"En este momento, solo te importa tu propio pellejo",,,,,,,,,,
7_WagonBroke_bunner,,"The cartwheel snaps on a rock - wood splinters, the wagon collapses, and you’re launched into the bushes. You lie still, breath held, until the guards give up the search","Наехав на камень колесо ломается и вся телега разваливается, вы улетаете в кусты и прячетесь там, пока стража не найдя вас уходит  ","La rueda se rompe al golpear una piedra, el carro se desmorona, y sales volando hacia los arbustos. Te quedas agazapado hasta que los guardias abandonan la búsqueda",,,,,,,,,,
7_WagonBroke_cardLeft,,Climb onto the nearest roof to track the guards’ movements,Попытаться следить за стражей с ближайшей крыши,Intentar seguir a los guardias desde el tejado más cercano,,,,,,,,,,
7_WagonBroke_cardLeft_REV,,"The roof tile crumbles - you crash down, shoulder screaming. Maybe stick to street-level surveillance","Опора под ногой крошится, вы срываетесь вниз и больно бьетесь плечом. Лучше продолжить слежку пешком","La teja se desmorona - caes con un golpe brutal en el hombro. Mejor seguir a pie, listillo",,,,,,,,,,
7_WagonBroke_cardRight,,Tail the guards the boring way - both feet on the ground,"Проследить за стражей, без акробатических фокусов",Seguir a los guardias como la gente normal: con los pies en la tierra,,,,,,,,,,
7_WagonBroke_cardRight_REV,,The guards head toward the marketplace,Стража уходит в сторону базара,Los guardias se dirigen al mercado,,,,,,,,,,
7_DeadEnd_bunner,,"You scratch your head, wondering what it means, and do what you think is right","Вы чешете голову, недоумевая что это значит, и делаете то, что вам кажется правильным","Te rascas la cabeza, sin comprender su significado, y haces lo que te parece correcto",,,,,,,,,,
7_DeadEnd_cardLeft,,Listen to the stones,Послушать камни,Escuchar a las piedras,,,,,,,,,,
7_DeadEnd_cardLeft_REV,,"You tap on the rocks and listen to the sound, one sounds different from the others","Вы легонько стучите по камням и прислушиваетесь к звуку, один звучит иначе, чем остальные",Golpeas las piedras y escuchas atentamente. Una de ellas suena diferente a las demás,,,,,,,,,,
7_DeadEnd_cardRight,,"Start yelling at rocks, waiting for an echo that’ll never come","Начать громко кричать на камни, в ожидании эха","Ponerte a gritarle a las piedras, esperando un eco imaginario",,,,,,,,,,
7_DeadEnd_cardRight_REV,,"The guards heard your shouts - yet somehow, you slipped away","Ваши крики услышали стражники, но вам удалось от них сбежать",Los guardias oyeron tus gritos... pero lograste escapar,,,,,,,,,,
7_1_DeadEnd_bunner,,"You press the stone, and activate a hidden mechanism. The wall slides open, revealing a passage into a dark corridor","Вы жмете на камень, и активируете скрытый механизм. Стена раздвигается, открывая проход в тёмный коридор","Presionas la piedra y activas un mecanismo oculto. La pared se aparta, revelando un pasaje hacia un oscuro corredor",,,,,,,,,,
7_1_DeadEnd_cardLeft,,Continue to inspect the walls,Продолжить осматривать стены,Seguir examinando las paredes,,,,,,,,,,
7_1_DeadEnd_cardLeft_REV_NO,,A faint glow catches your eye - a keyhole. If only you had a tool... even a rusty nail,"Вы замечаете слабое свечение, это замочная скважина. Вот бы что-то чем ее открыть, хотя бы старый гвоздь ",Ves un tenue resplandor: una cerradura. ¡Con que tuvieras algo para abrirla... hasta un clavo oxidado!,,,,,,,,,,
7_1_DeadEnd_cardLeft_REV_YES,,"A faint glow reveals a keyhole. With a rusty nail as your ‘key’, the lock clicks open","Вы замечаете слабое свечение, это замочная скважина. Используя гвоздь, вместо ключа, вы открываете замок","Un resplandor tenue delata una cerradura. Usando un clavo como llave, la abres con un clic",,,,,,,,,,
7_1_DeadEnd_cardRight,,Walk forward without looking at the walls,"Быстро пройти вперед, не осматривая стены",Avanzar rápidamente sin examinar las paredes,,,,,,,,,,
7_1_DeadEnd_cardRight_REV,,Walk forward without looking at the walls,"Быстро пройти вперед, не осматривая стены",Avanzar rápidamente sin examinar las paredes,,,,,,,,,,
7_1_StrongFigter_bunner,,"Back at the table, they’re debating weekly brawls - and somehow, you’re already on the roster","Вы возвращаетесь за стол, а там уже вовсю обсуждают, что пора бы устроить еженедельные кулачные бои. Более того - вас уже записали в команду","Al volver, la mesa discute peleas semanales… y por algún motivo, ya estás en la lista",,,,,,,,,,
